"","date","month","year","doy","subembay","station","class","genus","current_species","density","biovolume","tax"
"55",1992-04-07,4,1992,98,"SPB","13","Diatom","Paralia","Paralia sulcata",28.4,88987.6,"DUFF"
"56",1992-04-07,4,1992,98,"SPB","13","Diatom","Pleurosigma","Pleurosigma aestuarii",1.8,3199.5,"DUFF"
"57",1992-04-07,4,1992,98,"SPB","13","Diatom","Pleurosigma","Pleurosigma normanii",0.4,19006.5,"DUFF"
"58",1992-04-07,4,1992,98,"SPB","13","Diatom","Pleurosigma","Pleurosigma sp. 1",11.7,52242.6,"DUFF"
"59",1992-04-07,4,1992,98,"SPB","13","Diatom","Rhizosolenia","Rhizosolenia setigera",2.5,45232.7,"DUFF"
"60",1992-04-07,4,1992,98,"SPB","13","Diatom","Skeletonema","Skeletonema costatum",7.1,2418.2,"DUFF"
"61",1992-04-07,4,1992,98,"SPB","13","Diatom","Stephanodiscus","Stephanodiscus sp.",206.4,12590.4,"DUFF"
"62",1992-04-07,4,1992,98,"SPB","13","Diatom","Thalassionema","Thalassionema nitzschioides",1,2730,"DUFF"
"63",1992-04-07,4,1992,98,"SPB","13","Diatom","Thalassiosira","Thalassiosira angulata",7.5,133309.3,"DUFF"
"64",1992-04-07,4,1992,98,"SPB","13","Diatom","Thalassiosira","Thalassiosira hendeyi",34.4,70480.6,"DUFF"
"65",1992-04-07,4,1992,98,"SPB","13","Diatom","Thalassiosira","Thalassiosira nordenskioeldii",1.8,7107.4,"DUFF"
"66",1992-04-07,4,1992,98,"SPB","13","Diatom","Thalassiosira","Thalassiosira rotula",137.6,4129183.4,"DUFF"
"67",1992-04-07,4,1992,98,"SPB","13","Chlorophyte","Chlorella","Chlorella salina",8194.1,250363.6,"DUFF"
"68",1992-04-07,4,1992,98,"SPB","13","Chlorophyte","Nannochloris","Nannochloris spp.",1554.9,16316.8,"DUFF"
"69",1992-04-07,4,1992,98,"SPB","13","CHRYSOPHYCEAE","Kephyrion","Kephyrion sp.",189.2,1551.5,"DUFF"
"70",1992-04-07,4,1992,98,"SPB","13","CHRYSOPHYCEAE","Ochromonas","Ochromonas sp.",103.2,433.4,"DUFF"
"71",1992-04-07,4,1992,98,"SPB","13","CILIOPHORA","Myrionecta","Myrionecta rubra",0.2,756.6,"DUFF"
"72",1992-04-07,4,1992,98,"SPB","13","Cryptophyte","Plagioselmis","Plagioselmis prolonga",963.2,25993.3,"DUFF"
"73",1992-04-07,4,1992,98,"SPB","13","Cryptophyte","Teleaulax","Teleaulax amphioxeia",516,89835.6,"DUFF"
"74",1992-04-07,4,1992,98,"SPB","13","Cyanobacteria","Myxobaktron","Myxobaktron sp.",34.4,750,"DUFF"
"75",1992-04-07,4,1992,98,"SPB","13","Cyanobacteria","Phormidium","Phormidium sp.",206.4,557.3,"DUFF"
"76",1992-04-07,4,1992,98,"SPB","13","Dinoflagellate","Prorocentrum","Prorocentrum cordatum",34.4,5418,"DUFF"
"77",1992-04-07,4,1992,98,"SPB","13","EUGLENOPHYTA","Eutreptia","Eutreptia lanowii",66.3,12129.2,"DUFF"
"78",1992-04-07,4,1992,98,"SPB","13","PRASINOPHYTA","Pyramimonas","Pyramimonas micron",206.4,7795.3,"DUFF"
"79",1992-04-07,4,1992,98,"SPB","13","PRASINOPHYTA","Pyramimonas","Pyramimonas spp.",120.4,6449,"DUFF"
"80",1992-04-07,4,1992,98,"CEN","18","Diatom","Asterionellopsis","Asterionellopsis glacialis",0.8,4524,"DUFF"
"81",1992-04-07,4,1992,98,"CEN","18","Diatom","Ceratoneis","Ceratoneis closterium",0.4,23.4,"DUFF"
"82",1992-04-07,4,1992,98,"CEN","18","Diatom","Chaetoceros","Chaetoceros costatus",3.1,6519.4,"DUFF"
"83",1992-04-07,4,1992,98,"CEN","18","Diatom","Chaetoceros","Chaetoceros debilis",5.4,7975.8,"DUFF"
"84",1992-04-07,4,1992,98,"CEN","18","Diatom","Chaetoceros","Chaetoceros didymus",0.6,791.7,"DUFF"
"85",1992-04-07,4,1992,98,"CEN","18","Diatom","Chaetoceros","Chaetoceros socialis",2,4400,"DUFF"
"86",1992-04-07,4,1992,98,"CEN","18","Diatom","Chaetoceros","Chaetoceros wighamii",7.2,3401.3,"DUFF"
"87",1992-04-07,4,1992,98,"CEN","18","Diatom","Coscinodiscus","Coscinodiscus marginatus",1,58903.1,"DUFF"
"88",1992-04-07,4,1992,98,"CEN","18","Diatom","Coscinodiscus","Coscinodiscus radiatus",4,1605592.7,"DUFF"
"89",1992-04-07,4,1992,98,"CEN","18","Diatom","Ditylum","Ditylum brightwellii",0.3,38840.5,"DUFF"
"90",1992-04-07,4,1992,98,"CEN","18","Diatom","Eucampia","Eucampia zodiacus",3.7,27195,"DUFF"
"91",1992-04-07,4,1992,98,"CEN","18","Diatom","Guinardia","Guinardia delicatula",2.9,17064.6,"DUFF"
"92",1992-04-07,4,1992,98,"CEN","18","Diatom","Guinardia","Guinardia striata",2,10897,"DUFF"
"93",1992-04-07,4,1992,98,"CEN","18","Diatom","Gyrosigma","Gyrosigma acuminatum",0.3,9240,"DUFF"
"94",1992-04-07,4,1992,98,"CEN","18","Diatom","Leptocylindrus","Leptocylindrus minimus",5.4,451.3,"DUFF"
"95",1992-04-07,4,1992,98,"CEN","18","Diatom","Lithodesmium","Lithodesmium undulatum",0.9,74268.7,"DUFF"
"96",1992-04-07,4,1992,98,"CEN","18","Diatom","Nitzschia","Nitzschia longissima",0.4,57.9,"DUFF"
"97",1992-04-07,4,1992,98,"CEN","18","Diatom","Odontella","Odontella longicruris",0.2,43289.6,"DUFF"
"98",1992-04-07,4,1992,98,"CEN","18","Diatom","Paralia","Paralia sulcata",3.7,1872.8,"DUFF"
"99",1992-04-07,4,1992,98,"CEN","18","Diatom","Pleurosigma","Pleurosigma aestuarii",0.7,4209.4,"DUFF"
"100",1992-04-07,4,1992,98,"CEN","18","Diatom","Pleurosigma","Pleurosigma normanii",0.2,49019.9,"DUFF"
"101",1992-04-07,4,1992,98,"CEN","18","Diatom","Pleurosigma","Pleurosigma sp. 1",0.8,39941.4,"DUFF"
"102",1992-04-07,4,1992,98,"CEN","18","Diatom","Pseudonitzschia","Pseudo-nitzschia seriata",6.5,12548.4,"DUFF"
"103",1992-04-07,4,1992,98,"CEN","18","Diatom","Rhizosolenia","Rhizosolenia setigera",2.7,50339.6,"DUFF"
"104",1992-04-07,4,1992,98,"CEN","18","Diatom","Rhizosolenia","Rhizosolenia styliformis",1.7,29395.2,"DUFF"
"105",1992-04-07,4,1992,98,"CEN","18","Diatom","Skeletonema","Skeletonema costatum",14.2,4800.2,"DUFF"
"106",1992-04-07,4,1992,98,"CEN","18","Diatom","Stephanopyxis","Stephanopyxis sp.",1.6,89805,"DUFF"
"107",1992-04-07,4,1992,98,"CEN","18","Diatom","Thalassionema","Thalassionema nitzschioides",0.8,816,"DUFF"
"108",1992-04-07,4,1992,98,"CEN","18","Diatom","Thalassiosira","Thalassiosira angulata",1.3,40808.2,"DUFF"
"109",1992-04-07,4,1992,98,"CEN","18","Diatom","Thalassiosira","Thalassiosira gravida",1.2,86892.5,"DUFF"
"110",1992-04-07,4,1992,98,"CEN","18","Diatom","Thalassiosira","Thalassiosira nordenskioeldii",1.7,7269.2,"DUFF"
"111",1992-04-07,4,1992,98,"CEN","18","Diatom","Thalassiosira","Thalassiosira rotula",1.3,46560,"DUFF"
"112",1992-04-07,4,1992,98,"CEN","18","Diatom","Thalassiosira","Thalassiosira visurgis",2.4,91602.5,"DUFF"
"113",1992-04-07,4,1992,98,"CEN","18","Diatom","Trieres","Trieres mobiliensis",0.4,446908.6,"DUFF"
"114",1992-04-07,4,1992,98,"CEN","18","Chlorophyte","Chlamydomonas","Chlamydomonas spp.",378.4,1589.3,"DUFF"
"115",1992-04-07,4,1992,98,"CEN","18","Chlorophyte","Chlorella","Chlorella marina",2958.4,99106.4,"DUFF"
"116",1992-04-07,4,1992,98,"CEN","18","Chlorophyte","Chlorella","Chlorella salina",6558.9,219724.3,"DUFF"
"117",1992-04-07,4,1992,98,"CEN","18","Chlorophyte","Nannochloris","Nannochloris spp.",1609.8,6761.7,"DUFF"
"118",1992-04-07,4,1992,98,"CEN","18","CILIOPHORA","Myrionecta","Myrionecta rubra",3.8,14375.4,"DUFF"
"119",1992-04-07,4,1992,98,"CEN","18","Cryptophyte","Plagioselmis","Plagioselmis prolonga",1424.2,43152,"DUFF"
"120",1992-04-07,4,1992,98,"CEN","18","Cryptophyte","Teleaulax","Teleaulax amphioxeia",1259,219198.9,"DUFF"
"121",1992-04-07,4,1992,98,"CEN","18","Cyanobacteria","Chroococcus","Chroococcus sp.",412.8,1733.8,"DUFF"
"122",1992-04-07,4,1992,98,"CEN","18","Cyanobacteria","Planktolyngbya","Planktolyngbya limnetica",344,1376,"DUFF"
"123",1992-04-07,4,1992,98,"CEN","18","Dinoflagellate","Alexandrium","Alexandrium tamarense",8.8,42462.7,"DUFF"
"124",1992-04-07,4,1992,98,"CEN","18","Dinoflagellate","Heterocapsa","Heterocapsa triquetra",34.4,58789.6,"DUFF"
"125",1992-04-07,4,1992,98,"CEN","18","Dinoflagellate","Protoperidinium","Protoperidinium brevipes",0.2,7932.5,"DUFF"
"126",1992-04-07,4,1992,98,"CEN","18","Dinoflagellate","Tripos","Tripos minutus",0.4,14967.5,"DUFF"
"127",1992-04-07,4,1992,98,"CEN","18","EUGLENOPHYTA","Eutreptia","Eutreptia lanowii",11.9,2183.8,"DUFF"
"128",1992-04-07,4,1992,98,"CEN","18","PRASINOPHYTA","Pyramimonas","Pyramimonas micron",433.4,6919.6,"DUFF"
"129",1992-04-07,4,1992,98,"CEN","18","PRASINOPHYTA","Pyramimonas","Pyramimonas spp.",240.8,13099.5,"DUFF"
"130",1992-04-07,4,1992,98,"CEN","18","PRASINOPHYTA","Pyramimonas","Pyramimonas spp.",183.5,9980.6,"DUFF"
"131",1992-04-07,4,1992,98,"CEN","18","PRASINOPHYTA","Pyramimonas","Pyramimonas spp.",34.4,36202.6,"DUFF"
"132",1992-04-07,4,1992,98,"CEN","18","PRASINOPHYTA","Pyramimonas","Pyramimonas spp.",52.2,104041.6,"DUFF"
"133",1992-04-08,4,1992,99,"SOU","30","Diatom","Asterionellopsis","Asterionellopsis glacialis",26.2,144680.2,"DUFF"
"134",1992-04-08,4,1992,99,"SOU","30","Diatom","Biddulphia","Biddulphia biddulphiana",4,60470.2,"DUFF"
"135",1992-04-08,4,1992,99,"SOU","30","Diatom","Ceratoneis","Ceratoneis closterium",0.7,38.8,"DUFF"
"136",1992-04-08,4,1992,99,"SOU","30","Diatom","Chaetoceros","Chaetoceros costatus",25,42756.1,"DUFF"
"137",1992-04-08,4,1992,99,"SOU","30","Diatom","Chaetoceros","Chaetoceros debilis",129.4,191064.7,"DUFF"
"138",1992-04-08,4,1992,99,"SOU","30","Diatom","Chaetoceros","Chaetoceros didymus",6.2,4402,"DUFF"
"139",1992-04-08,4,1992,99,"SOU","30","Diatom","Chaetoceros","Chaetoceros socialis",3.2,1507.9,"DUFF"
"140",1992-04-08,4,1992,99,"SOU","30","Diatom","Chaetoceros","Chaetoceros vistulae",103.2,12487.2,"DUFF"
"141",1992-04-08,4,1992,99,"SOU","30","Diatom","Coscinodiscus","Coscinodiscus radiatus",15.6,4249486.8,"DUFF"
"142",1992-04-08,4,1992,99,"SOU","30","Diatom","Cyclotella","Cyclotella sp.",240.8,20760.7,"DUFF"
"143",1992-04-08,4,1992,99,"SOU","30","Diatom","Detonula","Detonula pumila",11.5,774921.7,"DUFF"
"144",1992-04-08,4,1992,99,"SOU","30","Diatom","Ditylum","Ditylum brightwellii",2.2,1092721.3,"DUFF"
"145",1992-04-08,4,1992,99,"SOU","30","Diatom","Eucampia","Eucampia zodiacus",17.4,128184,"DUFF"
"146",1992-04-08,4,1992,99,"SOU","30","Diatom","Guinardia","Guinardia delicatula",25.8,110468.6,"DUFF"
"147",1992-04-08,4,1992,99,"SOU","30","Diatom","Guinardia","Guinardia striata",23.8,250471.8,"DUFF"
"148",1992-04-08,4,1992,99,"SOU","30","Diatom","Gyrosigma","Gyrosigma acuminatum",1.2,86856,"DUFF"
"149",1992-04-08,4,1992,99,"SOU","30","Diatom","Gyrosigma","Gyrosigma balticum",0.4,14221.2,"DUFF"
"150",1992-04-08,4,1992,99,"SOU","30","Diatom","Helicotheca","Helicotheca tamesis",2.2,32738.9,"DUFF"
"151",1992-04-08,4,1992,99,"SOU","30","Diatom","Leptocylindrus","Leptocylindrus danicus",7.2,9345.6,"DUFF"
"152",1992-04-08,4,1992,99,"SOU","30","Diatom","Leptocylindrus","Leptocylindrus minimus",32.4,988,"DUFF"
"153",1992-04-08,4,1992,99,"SOU","30","Diatom","Lithodesmium","Lithodesmium undulatum",6.2,419237.2,"DUFF"
"154",1992-04-08,4,1992,99,"SOU","30","Diatom","Odontella","Odontella longicruris",0.8,138892.5,"DUFF"
"155",1992-04-08,4,1992,99,"SOU","30","Diatom","Paralia","Paralia sulcata",4,2035.6,"DUFF"
"156",1992-04-08,4,1992,99,"SOU","30","Diatom","Pleurosigma","Pleurosigma aestuarii",0.4,730.8,"DUFF"
"157",1992-04-08,4,1992,99,"SOU","30","Diatom","Pleurosigma","Pleurosigma sp. 1",0.5,1866.2,"DUFF"
"158",1992-04-08,4,1992,99,"SOU","30","Diatom","Psammodictyon","Psammodictyon panduriforme",68.8,97310.7,"DUFF"
"159",1992-04-08,4,1992,99,"SOU","30","Diatom","Pseudonitzschia","Pseudo-nitzschia seriata",37.4,75163.7,"DUFF"
"160",1992-04-08,4,1992,99,"SOU","30","Diatom","Rhizosolenia","Rhizosolenia setigera",27.5,501937.3,"DUFF"
"161",1992-04-08,4,1992,99,"SOU","30","Diatom","Rhizosolenia","Rhizosolenia styliformis",1.2,218700.1,"DUFF"
"162",1992-04-08,4,1992,99,"SOU","30","Diatom","Skeletonema","Skeletonema costatum",22,7956.4,"DUFF"
"163",1992-04-08,4,1992,99,"SOU","30","Diatom","Stephanopyxis","Stephanopyxis sp.",1.6,86976,"DUFF"
"164",1992-04-08,4,1992,99,"SOU","30","Diatom","Thalassiosira","Thalassiosira angulata",8.7,49434.6,"DUFF"
"165",1992-04-08,4,1992,99,"SOU","30","Diatom","Thalassiosira","Thalassiosira nordenskioeldii",10.8,42644.9,"DUFF"
"166",1992-04-08,4,1992,99,"SOU","30","Diatom","Thalassiosira","Thalassiosira rotula",6.2,193001.1,"DUFF"
"167",1992-04-08,4,1992,99,"SOU","30","Diatom","Thalassiosira","Thalassiosira visurgis",14.4,67856.4,"DUFF"
"168",1992-04-08,4,1992,99,"SOU","30","Diatom","Thalassiothrix","Thalassiothrix sp.",0.8,3127.9,"DUFF"
"169",1992-04-08,4,1992,99,"SOU","30","Diatom","Trieres","Trieres mobiliensis",0.9,972747.2,"DUFF"
"170",1992-04-08,4,1992,99,"SOU","30","Chlorophyte","Chlamydomonas","Chlamydomonas spp.",344,4863,"DUFF"
"171",1992-04-08,4,1992,99,"SOU","30","Chlorophyte","Chlorella","Chlorella salina",14076.5,343243.2,"DUFF"
"172",1992-04-08,4,1992,99,"SOU","30","Chlorophyte","Nannochloris","Nannochloris spp.",1568.6,10416.7,"DUFF"
"173",1992-04-08,4,1992,99,"SOU","30","CILIOPHORA","Myrionecta","Myrionecta rubra",1.9,7061.6,"DUFF"
"174",1992-04-08,4,1992,99,"SOU","30","Cryptophyte","Plagioselmis","Plagioselmis prolonga",6247,189285.3,"DUFF"
"175",1992-04-08,4,1992,99,"SOU","30","Cryptophyte","Teleaulax","Teleaulax amphioxeia",1788.8,311430.1,"DUFF"
"176",1992-04-08,4,1992,99,"SOU","30","Dinoflagellate","Alexandrium","Alexandrium tamarense",5.4,33384.4,"DUFF"
"177",1992-04-08,4,1992,99,"SOU","30","Dinoflagellate","Heterocapsa","Heterocapsa triquetra",5.1,8521.1,"DUFF"
"178",1992-04-08,4,1992,99,"SOU","30","Dinoflagellate","Oxytoxum","Oxytoxum milneri",34.4,1339845.6,"DUFF"
"179",1992-04-08,4,1992,99,"SOU","30","Dinoflagellate","Prorocentrum","Prorocentrum cordatum",1376,34111.5,"DUFF"
"180",1992-04-08,4,1992,99,"SOU","30","Dinoflagellate","Protoperidinium","Protoperidinium brevipes",0.8,4589.9,"DUFF"
"181",1992-04-08,4,1992,99,"SOU","30","Dinoflagellate","Protoperidinium","Protoperidinium pellucidum",1.2,43488,"DUFF"
"182",1992-04-08,4,1992,99,"SOU","30","Dinoflagellate","Protoperidinium","Protoperidinium spinulosum",68.8,192117.1,"DUFF"
"183",1992-04-08,4,1992,99,"SOU","30","EUGLENOPHYTA","Eutreptia","Eutreptia lanowii",10.1,1848.3,"DUFF"
"184",1992-04-08,4,1992,99,"SOU","30","PRASINOPHYTA","Pyramimonas","Pyramimonas micron",2167.2,23268.9,"DUFF"
"185",1992-04-08,4,1992,99,"SOU","30","PRASINOPHYTA","Pyramimonas","Pyramimonas spp.",1341.6,72983.1,"DUFF"
"186",1992-04-08,4,1992,99,"SOU","30","PRASINOPHYTA","Pyramimonas","Pyramimonas spp.",756.8,54338.2,"DUFF"
"187",1992-04-08,4,1992,99,"SOU","30","PRASINOPHYTA","Pyramimonas","Pyramimonas spp.",0.4,421,"DUFF"
"188",1992-04-08,4,1992,99,"SOU","30","PRASINOPHYTA","Pyramimonas","Pyramimonas spp.",2,4001.6,"DUFF"
"189",1992-04-08,4,1992,99,"SOU","30","PRASINOPHYTA","Tetraselmis","Tetraselmis gracile",688,360236.8,"DUFF"
"190",1992-04-14,4,1992,105,"SOU","24","Diatom","Actinoptychus","Actinoptychus senarius",0.3,170957.6,"DUFF"
"191",1992-04-14,4,1992,105,"SOU","24","Diatom","Asterionellopsis","Asterionellopsis glacialis",6,33930,"DUFF"
"192",1992-04-14,4,1992,105,"SOU","24","Diatom","Cerataulina","Cerataulina pelagica",3,38266.3,"DUFF"
"193",1992-04-14,4,1992,105,"SOU","24","Diatom","Ceratoneis","Ceratoneis closterium",2,116.6,"DUFF"
"194",1992-04-14,4,1992,105,"SOU","24","Diatom","Chaetoceros","Chaetoceros debilis",3.4,4342.4,"DUFF"
"195",1992-04-14,4,1992,105,"SOU","24","Diatom","Chaetoceros","Chaetoceros didymus",1.6,1136,"DUFF"
"196",1992-04-14,4,1992,105,"SOU","24","Diatom","Coscinodiscus","Coscinodiscus radiatus",1.6,613347.6,"DUFF"
"197",1992-04-14,4,1992,105,"SOU","24","Diatom","Cyclotella","Cyclotella sp.",218.9,17845,"DUFF"
"198",1992-04-14,4,1992,105,"SOU","24","Diatom","Dactyliosolen","Dactyliosolen fragilissimus",2,10602.6,"DUFF"
"199",1992-04-14,4,1992,105,"SOU","24","Diatom","Detonula","Detonula pumila",12.7,992456.2,"DUFF"
"200",1992-04-14,4,1992,105,"SOU","24","Diatom","Eucampia","Eucampia zodiacus",4.5,32521.4,"DUFF"
"201",1992-04-14,4,1992,105,"SOU","24","Diatom","Guinardia","Guinardia delicatula",7.7,54997.4,"DUFF"
"202",1992-04-14,4,1992,105,"SOU","24","Diatom","Guinardia","Guinardia striata",4.8,340978.6,"DUFF"
"203",1992-04-14,4,1992,105,"SOU","24","Diatom","Gyrosigma","Gyrosigma acuminatum",0.8,24640,"DUFF"
"204",1992-04-14,4,1992,105,"SOU","24","Diatom","Gyrosigma","Gyrosigma fasciola",0.4,11256,"DUFF"
"205",1992-04-14,4,1992,105,"SOU","24","Diatom","Gyrosigma","Gyrosigma obscurum",1,3390.6,"DUFF"
"206",1992-04-14,4,1992,105,"SOU","24","Diatom","Leptocylindrus","Leptocylindrus danicus",5.6,7268.8,"DUFF"
"207",1992-04-14,4,1992,105,"SOU","24","Diatom","Leptocylindrus","Leptocylindrus minimus",123.8,50370.1,"DUFF"
"208",1992-04-14,4,1992,105,"SOU","24","Diatom","Melosira","Melosira nummuloides",195,84905.3,"DUFF"
"209",1992-04-14,4,1992,105,"SOU","24","Diatom","Nitzschia","Nitzschia longissima",0.8,7182.4,"DUFF"
"210",1992-04-14,4,1992,105,"SOU","24","Diatom","Pleurosigma","Pleurosigma aestuarii",3.2,5846.4,"DUFF"
"211",1992-04-14,4,1992,105,"SOU","24","Diatom","Pleurosigma","Pleurosigma elongatum",0.4,20904,"DUFF"
"212",1992-04-14,4,1992,105,"SOU","24","Diatom","Pleurosigma","Pleurosigma sp. 1",4.4,23701.9,"DUFF"
"213",1992-04-14,4,1992,105,"SOU","24","Diatom","Pleurosigma","Pleurosigma sp. 2",0.2,1259.8,"DUFF"
"214",1992-04-14,4,1992,105,"SOU","24","Diatom","Pseudonitzschia","Pseudo-nitzschia seriata",8.8,13589,"DUFF"
